run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
gwnet_pems-bay_Acc_SG_LSTM_Q12,GWNET,pems-bay,Acc_SG,12,12,True,1.691786766052246,3.8082141876220703,3.4645088016986847,156848,73,177.0169291893641,2.9502821531560683,1.7412477731704712,2025-12-03T03:43:45.688529,test_results
gwnet_pems-bay_Acc_SG_LSTM_Q3,GWNET,pems-bay,Acc_SG,3,12,True,0.9312450885772704,2.005481243133545,1.73732191324234,155687,96,143.83128514289857,2.397188085714976,0.9526351690292358,2025-12-02T14:32:05.393724,test_results
gwnet_pems-bay_Acc_SG_LSTM_Q6,GWNET,pems-bay,Acc_SG,6,12,True,1.3052380084991455,2.917722463607788,2.5581376627087598,156074,60,107.68766686916352,1.7947944478193918,1.344355583190918,2025-12-02T20:57:40.233211,test_results
gwnet_pems-bay_NoAcc_LSTM_Q12,GWNET,pems-bay,NoAcc,12,12,False,1.8434693813323972,4.070318222045898,3.816382959485054,156784,57,103.32327387332916,1.722054564555486,1.901967406272888,2025-12-03T00:46:31.589431,test_results
gwnet_pems-bay_NoAcc_LSTM_Q3,GWNET,pems-bay,NoAcc,3,12,False,1.256633162498474,2.6346445083618164,2.393926866352558,155623,78,143.36822646856308,2.389470441142718,1.289004921913147,2025-12-02T12:08:09.649268,test_results
gwnet_pems-bay_NoAcc_LSTM_Q6,GWNET,pems-bay,NoAcc,6,12,False,1.525110125541687,3.3207521438598637,3.023793920874596,156010,60,118.4917516430219,1.9748625273836984,1.5755401849746704,2025-12-02T19:09:49.461570,test_results
stgin_metr-la_Acc_NoSG_LSTM_Q12,STGIN,metr-la,Acc_NoSG,12,12,True,5.109045028686523,12.157958030700684,17.28078269958496,242561,21,15.927312592665354,0.2654552098777559,,,test_metrics
stgin_metr-la_Acc_NoSG_LSTM_Q3,STGIN,metr-la,Acc_NoSG,3,12,True,2.429937601089477,6.559879302978516,7.052654266357422,241921,37,23.194740732510883,0.3865790122085147,2.284744501113892,2025-12-11T13:46:20.207816,test_metrics
stgin_metr-la_Acc_NoSG_LSTM_Q6,STGIN,metr-la,Acc_NoSG,6,12,True,3.679271459579468,9.14079475402832,11.826510429382324,242561,31,22.06776065429052,0.3677960109048419,,,test_metrics
stgin_metr-la_Acc_SG_LSTM_Q12,STGIN,metr-la,Acc_SG,12,12,True,4.947910785675049,11.575469970703123,15.711483001708984,242561,39,30.864604167143504,0.5144100694523918,,,test_metrics
